match_id,season,home_away,name,short_name,code,score,full_score,opp_name,opp_short_name,opp_score,opp_full_score,p1_score,p2_score,p3_score,p4_score,fouls,timeouts,minutes,field_goals_made,field_goals_attempted,field_goals_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,two_pointers_made,two_pointers_attempted,two_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,rebounds_defensive,rebounds_offensive,rebounds_total,assists,turnovers,steals,blocks,blocks_received,fouls_personal,fouls_on,points,points_from_turnovers,points_second_chance,points_fast_break,bench_points,points_in_the_paint,ot_score,time_leading,biggest_lead,lead_changes,times_scores_level,fouls_team,rebounds_team,rebounds_team_defensive,rebounds_team_offensive,efficiency_custom,turnovers_team,biggest_scoring_run,tot_eff_1,tot_eff_2,tot_eff_3,tot_eff_4,tot_eff_5,tot_eff_6,tot_eff_7,fouls_total
139002,2015-2016,home,Adelaide 36ers,36ers,ADL,90,90,New Zealand Breakers,Breakers,71,71,19,32,19,20,4,0,0,32,71,45,8,15,53,24,56,42,18,23,78,25,20,45,18,15,5,5,3,15,23,90,6,8,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139002,2015-2016,away,New Zealand Breakers,Breakers,NZL,71,71,Adelaide 36ers,36ers,90,90,17,9,24,21,7,2,0,29,77,37,6,30,20,23,47,48,7,10,70,21,15,36,14,12,7,3,5,23,15,71,19,8,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139003,2015-2016,home,Cairns Taipans,Taipans,CNS,79,79,Illawarra Hawks,Hawks,74,74,25,13,14,27,5,2,0,28,58,48,8,22,36,20,36,55,15,20,75,16,14,30,20,13,13,0,2,16,25,79,21,15,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139003,2015-2016,away,Illawarra Hawks,Hawks,ILL,74,74,Cairns Taipans,Taipans,79,79,16,22,12,24,12,1,0,25,47,53,12,20,60,13,27,48,12,19,63,17,10,27,11,23,6,2,0,25,15,74,16,8,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139004,2015-2016,home,Townsville Crocodiles,Crocodiles,TSV,84,84,Melbourne United,Melbourne United,99,99,19,23,21,21,6,2,0,31,79,39,6,18,33,25,61,40,16,19,84,21,15,36,7,8,4,3,3,20,15,84,14,13,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139004,2015-2016,away,Melbourne United,Melbourne United,MEL,99,99,Townsville Crocodiles,Crocodiles,84,84,28,15,29,27,2,1,0,37,68,54,13,23,56,24,45,53,12,19,63,29,11,40,20,10,1,3,3,15,20,99,10,12,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139005,2015-2016,home,Sydney Kings,Kings,SYD,87,87,Cairns Taipans,Taipans,63,63,29,28,17,13,2,0,0,32,65,49,10,31,32,22,34,64,13,17,76,32,5,37,22,8,7,5,2,15,19,87,13,9,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139005,2015-2016,away,Cairns Taipans,Taipans,CNS,63,63,Sydney Kings,Kings,87,87,15,17,15,16,3,2,0,22,66,33,4,26,15,18,40,45,15,18,83,24,11,35,9,11,2,2,5,19,15,63,6,6,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139006,2015-2016,home,Adelaide 36ers,36ers,ADL,66,66,Perth Wildcats,Wildcats,79,79,28,15,10,13,6,1,0,23,66,34,3,16,18,20,50,40,17,24,70,24,12,36,10,12,6,5,1,19,21,66,6,12,2,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139006,2015-2016,away,Perth Wildcats,Wildcats,PER,79,79,Adelaide 36ers,36ers,66,66,26,13,14,26,7,1,0,29,80,36,9,23,39,20,57,35,12,13,92,32,18,50,17,15,2,1,5,21,19,79,14,23,4,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
