match_id,season,venue_name,round_number,match_number,match_status,match_name,match_type,team_id,team_name,team_nickname,score_string,is_home_competitor,opp_team_id,opp_team_name,opp_team_nickname,opp_score_string,at_neutral_venue,extra_periods_used,match_time,match_time_utc,attendance,duration
27606,1979,Burwood Stadium,1,89,COMPLETE,,REGULAR,3690,Newcastle Falcons,FALCONS,62,1,3705,Nunawading Spectres,SPECTRES,78,0,0,1979-02-24 12:00:00,1979-02-24 01:00:00,0,120
27606,1979,Burwood Stadium,1,89,COMPLETE,,REGULAR,3705,Nunawading Spectres,SPECTRES,78,0,3690,Newcastle Falcons,FALCONS,62,0,0,1979-02-24 12:00:00,1979-02-24 01:00:00,0,120
27607,1979,Apollo Entertainment Centre,1,90,COMPLETE,,REGULAR,3697,Glenelg Tigers,TIGERS,68,1,3714,City of Sydney Astronauts,Astronauts,65,0,0,1979-02-24 12:00:00,1979-02-24 01:30:00,0,120
27607,1979,Apollo Entertainment Centre,1,90,COMPLETE,,REGULAR,3714,City of Sydney Astronauts,Astronauts,65,0,3697,Glenelg Tigers,TIGERS,68,0,0,1979-02-24 12:00:00,1979-02-24 01:30:00,0,120
27608,1979,"Auchenflower, Brisbane",1,91,COMPLETE,,REGULAR,3709,Brisbane Bullets,Bullets,70,1,3717,Canberra Cannons,CANNONS,77,0,0,1979-02-24 12:00:00,1979-02-24 02:00:00,0,120
27608,1979,"Auchenflower, Brisbane",1,91,COMPLETE,,REGULAR,3717,Canberra Cannons,CANNONS,77,0,3709,Brisbane Bullets,Bullets,70,0,0,1979-02-24 12:00:00,1979-02-24 02:00:00,0,120
27518,1979,Bankstown Stadium,1,1,COMPLETE,,REGULAR,3708,Bankstown Bruins,BRUINS,79,1,3717,Canberra Cannons,CANNONS,82,0,0,1979-02-25 12:00:00,1979-02-25 01:00:00,0,120
27518,1979,Bankstown Stadium,1,1,COMPLETE,,REGULAR,3717,Canberra Cannons,CANNONS,82,0,3708,Bankstown Bruins,BRUINS,79,0,0,1979-02-25 12:00:00,1979-02-25 01:00:00,0,120
27519,1979,Albert Park,1,2,COMPLETE,,REGULAR,3702,St. Kilda Saints,SAINTS,94,1,3690,Newcastle Falcons,FALCONS,92,0,0,1979-02-25 12:00:00,1979-02-25 01:00:00,0,120
27519,1979,Albert Park,1,2,COMPLETE,,REGULAR,3690,Newcastle Falcons,FALCONS,92,0,3702,St. Kilda Saints,SAINTS,94,0,0,1979-02-25 12:00:00,1979-02-25 01:00:00,0,120
